rank,node_name,mean_leak_prob,above_threshold
1,Node_1,0.972567,True
2,Node_13,0.624917,True
3,Node_19,0.606079,True
4,Node_16,0.604656,True
5,Node_15,0.577163,True
6,Node_14,0.575253,True
7,Node_18,0.574159,True
8,Node_17,0.573681,True
9,Node_12,0.568999,True
10,Node_10,0.564848,True
11,Node_11,0.563909,True
12,Node_2,0.341006,False
13,Node_22,0.134911,False
14,Node_30,0.131484,False
15,Node_29,0.131453,False
16,Node_27,0.130163,False
17,Node_31,0.130150,False
18,Node_26,0.127990,False
19,Node_7,0.127124,False
20,Node_6,0.126983,False
21,Node_8,0.126953,False
22,Node_28,0.126903,False
23,Node_5,0.126774,False
24,Node_32,0.125998,False
25,Node_21,0.125877,False
26,Node_25,0.125646,False
27,Node_9,0.125361,False
28,Node_3,0.122528,False
29,Node_4,0.121790,False
30,Node_24,0.121453,False
31,Node_23,0.121291,False
32,Node_20,0.115987,False
